classification_timestamp,instrument,positioning_state,positioning_confidence,price_at_signal,price_5m,price_15m,price_30m,price_60m,mfe,mae,continuation,reversal,invalidation,outcome_status
2026-09-18T10:29:04.459Z,NIFTY,POSITIONING_UNCLEAR,LOW,23346.400390625,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,NOT_YET_OBSERVED
2026-09-18T10:29:05.127Z,BANKNIFTY,POSITIONING_UNCLEAR,LOW,56358.69921875,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,NOT_YET_OBSERVED
