decision_id,instrument,decision_timestamp,input_type,input_timestamp,delta_seconds,pass_fail,notes
12,NIFTY,2026-09-18T04:00:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T04:00:00+00:00"
12,NIFTY,2026-09-18T04:00:00+00:00,indicators,2026-09-18T03:59:04.092Z,0,PASS,indicators at 2026-09-18T03:59:04.092Z
12,NIFTY,2026-09-18T04:00:00+00:00,market_regime,2026-09-18T03:59:04.092Z,0,PASS,regime at 2026-09-18T03:59:04.092Z
13,BANKNIFTY,2026-09-18T03:55:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:55:00+00:00"
13,BANKNIFTY,2026-09-18T03:55:00+00:00,indicators,2026-09-18T03:54:09.390Z,0,PASS,indicators at 2026-09-18T03:54:09.390Z
13,BANKNIFTY,2026-09-18T03:55:00+00:00,market_regime,2026-09-18T03:54:09.390Z,0,PASS,regime at 2026-09-18T03:54:09.390Z
14,NIFTY,2026-09-18T03:55:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:55:00+00:00"
14,NIFTY,2026-09-18T03:55:00+00:00,indicators,2026-09-18T03:54:08.204Z,0,PASS,indicators at 2026-09-18T03:54:08.204Z
14,NIFTY,2026-09-18T03:55:00+00:00,market_regime,2026-09-18T03:54:08.204Z,0,PASS,regime at 2026-09-18T03:54:08.204Z
15,BANKNIFTY,2026-09-18T03:50:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:50:00+00:00"
15,BANKNIFTY,2026-09-18T03:50:00+00:00,indicators,2026-09-18T03:49:04.847Z,0,PASS,indicators at 2026-09-18T03:49:04.847Z
15,BANKNIFTY,2026-09-18T03:50:00+00:00,market_regime,2026-09-18T03:49:04.847Z,0,PASS,regime at 2026-09-18T03:49:04.847Z
16,NIFTY,2026-09-18T03:50:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:50:00+00:00"
16,NIFTY,2026-09-18T03:50:00+00:00,indicators,2026-09-18T03:49:04.224Z,0,PASS,indicators at 2026-09-18T03:49:04.224Z
16,NIFTY,2026-09-18T03:50:00+00:00,market_regime,2026-09-18T03:49:04.224Z,0,PASS,regime at 2026-09-18T03:49:04.224Z
17,BANKNIFTY,2026-09-18T03:45:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:45:00+00:00"
17,BANKNIFTY,2026-09-18T03:45:00+00:00,indicators,2026-09-18T03:44:09.190Z,0,PASS,indicators at 2026-09-18T03:44:09.190Z
17,BANKNIFTY,2026-09-18T03:45:00+00:00,market_regime,2026-09-18T03:44:09.190Z,0,PASS,regime at 2026-09-18T03:44:09.190Z
18,NIFTY,2026-09-18T03:45:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:45:00+00:00"
18,NIFTY,2026-09-18T03:45:00+00:00,indicators,2026-09-18T03:44:07.609Z,0,PASS,indicators at 2026-09-18T03:44:07.609Z
18,NIFTY,2026-09-18T03:45:00+00:00,market_regime,2026-09-18T03:44:07.609Z,0,PASS,regime at 2026-09-18T03:44:07.609Z
19,BANKNIFTY,2026-09-18T03:40:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:40:00+00:00"
19,BANKNIFTY,2026-09-18T03:40:00+00:00,indicators,2026-09-18T03:39:06.719Z,0,PASS,indicators at 2026-09-18T03:39:06.719Z
19,BANKNIFTY,2026-09-18T03:40:00+00:00,market_regime,2026-09-18T03:39:06.719Z,0,PASS,regime at 2026-09-18T03:39:06.719Z
20,NIFTY,2026-09-18T03:40:00+00:00,price_1m,2026-09-18 10:29:00,0,PASS,"1m data at 2026-09-18 10:29:00, 5m candle at 2026-09-18T03:40:00+00:00"
20,NIFTY,2026-09-18T03:40:00+00:00,indicators,2026-09-18T03:39:05.874Z,0,PASS,indicators at 2026-09-18T03:39:05.874Z
20,NIFTY,2026-09-18T03:40:00+00:00,market_regime,2026-09-18T03:39:05.874Z,0,PASS,regime at 2026-09-18T03:39:05.874Z
