trade_id,entry_time_ist,entry_price,entry_utc,exit_time_ist,exit_price,exit_utc,trigger_delay_min,total_time_min,market_structure,directional_bias,trade_class,trade_status,confidence,outcome,return_pct,reason,mfe_pct,mae_pct
31,2026-08-04 11:45:00 IST,24532.80078125,2026-08-04 06:15:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
32,2026-08-04 11:50:00 IST,24532.75,2026-08-04 06:20:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
33,2026-08-04 11:55:00 IST,24524.150390625,2026-08-04 06:25:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
34,2026-08-04 12:00:00 IST,24521.900390625,2026-08-04 06:30:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
35,2026-08-04 12:05:00 IST,24506.349609375,2026-08-04 06:35:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
36,2026-08-04 12:10:00 IST,24511.30078125,2026-08-04 06:40:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
37,2026-08-04 12:15:00 IST,24519.75,2026-08-04 06:45:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
38,2026-08-04 12:20:00 IST,24519.349609375,2026-08-04 06:50:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
39,2026-08-04 12:25:00 IST,24515.69921875,2026-08-04 06:55:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
40,2026-08-04 12:30:00 IST,24507.55078125,2026-08-04 07:00:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
41,2026-08-04 12:35:00 IST,24503.25,2026-08-04 07:05:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
42,2026-08-04 12:40:00 IST,24493.349609375,2026-08-04 07:10:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
43,2026-08-04 12:45:00 IST,24503.30078125,2026-08-04 07:15:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
44,2026-08-04 12:50:00 IST,24500.05078125,2026-08-04 07:20:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
45,2026-08-04 12:55:00 IST,24491.75,2026-08-04 07:25:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
46,2026-08-04 13:00:00 IST,24493.650390625,2026-08-04 07:30:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
47,2026-08-04 13:05:00 IST,24483.69921875,2026-08-04 07:35:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
48,2026-08-04 13:10:00 IST,24479.599609375,2026-08-04 07:40:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
49,2026-08-04 13:15:00 IST,24482.05078125,2026-08-04 07:45:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
50,2026-08-04 13:20:00 IST,24491.80078125,2026-08-04 07:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
51,2026-08-04 13:25:00 IST,24471.19921875,2026-08-04 07:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
52,2026-08-04 13:30:00 IST,24463.69921875,2026-08-04 08:00:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
53,2026-08-04 13:35:00 IST,24468.19921875,2026-08-04 08:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
54,2026-08-04 13:40:00 IST,24453.80078125,2026-08-04 08:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
55,2026-08-04 13:45:00 IST,24465.44921875,2026-08-04 08:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
56,2026-08-04 13:50:00 IST,24446.69921875,2026-08-04 08:20:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
57,2026-08-04 13:55:00 IST,24448.900390625,2026-08-04 08:25:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
58,2026-08-04 14:00:00 IST,24445.400390625,2026-08-04 08:30:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
59,2026-08-04 14:05:00 IST,24450.19921875,2026-08-04 08:35:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
60,2026-08-04 14:10:00 IST,24462.349609375,2026-08-04 08:40:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
61,2026-08-04 14:15:00 IST,24486.0,2026-08-04 08:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
62,2026-08-04 14:20:00 IST,24473.400390625,2026-08-04 08:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
63,2026-08-04 14:25:00 IST,24470.5,2026-08-04 08:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
64,2026-08-04 14:30:00 IST,24463.150390625,2026-08-04 09:00:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
65,2026-08-04 14:35:00 IST,24463.30078125,2026-08-04 09:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
66,2026-08-04 14:40:00 IST,24456.650390625,2026-08-04 09:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
67,2026-08-04 14:45:00 IST,24469.19921875,2026-08-04 09:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
68,2026-08-04 14:50:00 IST,24474.80078125,2026-08-04 09:20:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
69,2026-08-04 14:55:00 IST,24465.849609375,2026-08-04 09:25:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
70,2026-08-04 15:00:00 IST,24450.349609375,2026-08-04 09:30:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
71,2026-08-04 15:05:00 IST,24452.30078125,2026-08-04 09:35:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
72,2026-08-04 15:10:00 IST,24462.94921875,2026-08-04 09:40:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
73,2026-08-04 15:15:00 IST,24463.44921875,2026-08-04 09:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
74,2026-08-04 15:20:00 IST,24463.44921875,2026-08-04 09:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
75,2026-08-04 15:25:00 IST,24614.900390625,2026-08-04 09:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,30,NO_TRADE,,No trade warranted,0.0,0.0
76,2026-08-05 09:15:00 IST,24635.19921875,2026-08-05 03:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
77,2026-08-05 09:20:00 IST,24625.30078125,2026-08-05 03:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
78,2026-08-05 09:25:00 IST,24621.44921875,2026-08-05 03:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
79,2026-08-05 09:30:00 IST,24611.05078125,2026-08-05 04:00:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
80,2026-08-05 09:35:00 IST,24622.05078125,2026-08-05 04:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
81,2026-08-05 09:40:00 IST,24627.94921875,2026-08-05 04:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
82,2026-08-05 09:45:00 IST,24628.349609375,2026-08-05 04:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
83,2026-08-05 09:50:00 IST,24591.19921875,2026-08-05 04:20:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
84,2026-08-05 09:55:00 IST,24594.05078125,2026-08-05 04:25:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
85,2026-08-05 10:00:00 IST,24612.0,2026-08-05 04:30:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
86,2026-08-05 10:05:00 IST,24605.900390625,2026-08-05 04:35:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
87,2026-08-05 10:10:00 IST,24620.900390625,2026-08-05 04:40:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
88,2026-08-05 10:15:00 IST,24611.80078125,2026-08-05 04:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
89,2026-08-05 10:20:00 IST,24615.900390625,2026-08-05 04:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
90,2026-08-05 10:25:00 IST,24582.400390625,2026-08-05 04:55:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
91,2026-08-05 10:30:00 IST,24580.05078125,2026-08-05 05:00:00,,,,,,VOLATILE_EXPANSION,MIXED,NO_TRADE,NO_TRADE,40,NO_TRADE,,No trade warranted,0.0,0.0
92,2026-08-05 10:35:00 IST,24581.650390625,2026-08-05 05:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
93,2026-08-05 10:40:00 IST,24594.400390625,2026-08-05 05:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
94,2026-08-05 10:45:00 IST,24609.400390625,2026-08-05 05:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
95,2026-08-05 10:50:00 IST,24617.19921875,2026-08-05 05:20:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
96,2026-08-05 10:55:00 IST,24643.05078125,2026-08-05 05:25:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
97,2026-08-05 11:00:00 IST,24648.30078125,2026-08-05 05:30:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
98,2026-08-05 11:05:00 IST,24626.19921875,2026-08-05 05:35:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
99,2026-08-05 11:10:00 IST,24631.400390625,2026-08-05 05:40:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
100,2026-08-05 11:15:00 IST,24623.05078125,2026-08-05 05:45:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
101,2026-08-05 11:20:00 IST,24619.599609375,2026-08-05 05:50:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
102,2026-08-05 11:25:00 IST,24611.25,2026-08-05 05:55:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
103,2026-08-05 11:30:00 IST,24590.099609375,2026-08-05 06:00:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
104,2026-08-05 11:35:00 IST,24598.19921875,2026-08-05 06:05:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
105,2026-08-05 11:40:00 IST,24594.400390625,2026-08-05 06:10:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
106,2026-08-05 11:45:00 IST,24584.25,2026-08-05 06:15:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
107,2026-08-05 11:50:00 IST,24574.30078125,2026-08-05 06:20:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
108,2026-08-05 11:55:00 IST,24570.94921875,2026-08-05 06:25:00,,,,,,SIDEWAYS,NEUTRAL,NO_TRADE,NO_TRADE,50,NO_TRADE,,No trade warranted,0.0,0.0
